reg,semaine,cl_age90,Nb_tests_PCR_TA_crible,Prc_tests_PCR_TA_crible,Nb_susp_501Y_V1,Prc_susp_501Y_V1,Nb_susp_501Y_V2_3,Prc_susp_501Y_V2_3,Nb_susp_IND,Prc_susp_IND,Nb_susp_ABS,Prc_susp_ABS
32,2021-02-18-2021-02-24,0,15789,71,9516,60.3,359,2.3,1258,8,4656,29.5
32,2021-02-25-2021-03-03,0,15898,71.3,10757,67.7,348,2.2,1226,7.7,3567,22.4
32,2021-03-04-2021-03-10,0,16808,71.4,12068,71.8,329,2,1459,8.7,2952,17.6
32,2021-03-11-2021-03-17,0,19914,71.9,15368,77.2,381,1.9,1691,8.5,2474,12.4
32,2021-03-18-2021-03-24,0,22444,69.5,17887,79.7,423,1.9,2120,9.4,2014,9
32,2021-03-25-2021-03-31,0,22473,64.9,18890,84.1,367,1.6,1847,8.2,1369,6.1
32,2021-04-01-2021-04-07,0,17765,62.9,15050,84.7,308,1.7,1458,8.2,949,5.3
32,2021-04-08-2021-04-14,0,18509,65.3,15893,85.9,327,1.8,1434,7.7,855,4.6
32,2021-04-15-2021-04-21,0,15390,59.5,13338,86.7,355,2.3,1105,7.2,592,3.8
32,2021-04-22-2021-04-28,0,13118,59.8,11392,86.8,316,2.4,970,7.4,440,3.4
32,2021-04-29-2021-05-05,0,11111,64.4,9675,87.1,289,2.6,881,7.9,266,2.4
32,2021-05-06-2021-05-12,0,10179,65.8,8781,86.3,297,2.9,822,8.1,279,2.7
